,date_num,variable,value
1,1,Total,-0.042805324
2,2,Total,-0.091556185
3,3,Total,-0.065371269
4,4,Total,-0.207272629
5,5,Total,-0.077377527
6,6,Total,0.223736455
7,7,Total,-0.055559706
8,8,Total,-0.018737694
9,9,Total,0.045581801
10,10,Total,0
11,11,Total,-0.121699077
12,12,Total,0.052184277
13,13,Total,0.328325169
14,14,Total,0.0434382
15,15,Total,0.029205365
16,16,Total,0.176734861
17,17,Total,0.239262291
18,18,Total,0.147986985
19,19,Total,0.511789353
20,20,Total,0.693634923
21,21,Total,0.592967397
22,22,Total,0.652879828
23,23,Total,0.600040983
24,24,Total,-0.327725841
25,25,Total,-1.007525316
26,26,Total,-0.836191851
27,27,Total,-0.692711661
28,28,Total,-1.088216673
29,29,Total,-1.106451901
30,30,Total,-1.131236153
31,31,Total,-1.221716078
32,32,Total,-1.377992548
33,33,Total,-1.446129177
34,34,Total,-1.350671755
35,35,Total,-0.403140698
36,36,Total,0.235503499
37,37,Total,0.230021561
38,38,Total,0.141281616
39,39,Total,0.039058896
40,40,Total,0.007500555
41,41,Total,-0.088629104
42,42,Total,-0.43435604
43,43,Total,-0.558059656
44,44,Total,-0.580003546
45,45,Total,-0.588174195
46,46,Total,-0.566512955
47,47,Total,-0.36851489
48,48,Total,-0.315340443
49,49,Total,-0.562013649
50,50,Total,-0.3640207
51,51,Total,-0.534737995
52,52,Total,0.546763316
53,53,Total,0.523142828
54,54,Total,0.568806437
55,55,Total,0.632851575
56,56,Total,0.626278932
57,57,Total,0.562038769
58,58,Total,0.557565531
59,59,Total,0.5852703
60,60,Total,0.540061246
61,1,Food_and_Dining,-0.088045191
62,2,Food_and_Dining,0.011230111
63,3,Food_and_Dining,-0.021689365
64,4,Food_and_Dining,-0.056849367
65,5,Food_and_Dining,0.007808051
66,6,Food_and_Dining,0.161771445
67,7,Food_and_Dining,-0.012312696
68,8,Food_and_Dining,-0.022362216
69,9,Food_and_Dining,0.049991261
70,10,Food_and_Dining,0
71,11,Food_and_Dining,-0.010188148
72,12,Food_and_Dining,0.033394227
73,13,Food_and_Dining,0.113612046
74,14,Food_and_Dining,0.04028608
75,15,Food_and_Dining,0.081168457
76,16,Food_and_Dining,0.151528434
77,17,Food_and_Dining,0.137704478
78,18,Food_and_Dining,0.132505949
79,19,Food_and_Dining,0.291334611
80,20,Food_and_Dining,0.402319099
81,21,Food_and_Dining,0.324173227
82,22,Food_and_Dining,0.447117098
83,23,Food_and_Dining,0.355145239
84,24,Food_and_Dining,-0.322942637
85,25,Food_and_Dining,-0.811542592
86,26,Food_and_Dining,-0.573055223
87,27,Food_and_Dining,-0.502564335
88,28,Food_and_Dining,-0.614124286
89,29,Food_and_Dining,-0.581100537
90,30,Food_and_Dining,-0.554592536
91,31,Food_and_Dining,-0.641537631
92,32,Food_and_Dining,-0.61589823
93,33,Food_and_Dining,-0.671881733
94,34,Food_and_Dining,-0.724302184
95,35,Food_and_Dining,-0.123873211
96,36,Food_and_Dining,0.39485485
97,37,Food_and_Dining,0.284521176
98,38,Food_and_Dining,0.178078557
99,39,Food_and_Dining,0.047382319
100,40,Food_and_Dining,0.03017046
101,41,Food_and_Dining,-0.094348264
102,42,Food_and_Dining,-0.211832147
103,43,Food_and_Dining,-0.212711502
104,44,Food_and_Dining,-0.212468776
105,45,Food_and_Dining,-0.172096241
106,46,Food_and_Dining,-0.198812459
107,47,Food_and_Dining,-0.101061095
108,48,Food_and_Dining,-0.075713978
109,49,Food_and_Dining,-0.155295034
110,50,Food_and_Dining,-0.049022668
111,51,Food_and_Dining,-0.105217648
112,52,Food_and_Dining,0.833980766
113,53,Food_and_Dining,0.798798187
114,54,Food_and_Dining,0.834595323
115,55,Food_and_Dining,0.90108916
116,56,Food_and_Dining,0.969234392
117,57,Food_and_Dining,0.892020647
118,58,Food_and_Dining,0.883262244
119,59,Food_and_Dining,0.889581677
120,60,Food_and_Dining,0.789298687
121,1,Tourism,-0.011561671
122,2,Tourism,0.044588734
123,3,Tourism,0.000869093
124,4,Tourism,-0.126641247
125,5,Tourism,-0.010636961
126,6,Tourism,0.21603333
127,7,Tourism,0.05686413
128,8,Tourism,0.02571552
129,9,Tourism,0.116645033
130,10,Tourism,0
131,11,Tourism,-0.088385602
132,12,Tourism,0.012154051
133,13,Tourism,0.144214621
134,14,Tourism,0.078783253
135,15,Tourism,0.024587247
136,16,Tourism,0.157543721
137,17,Tourism,0.126748897
138,18,Tourism,0.136301948
139,19,Tourism,0.261673293
140,20,Tourism,0.369745707
141,21,Tourism,0.388506443
142,22,Tourism,0.42421233
143,23,Tourism,0.432778411
144,24,Tourism,-0.243165292
145,25,Tourism,-0.690988435
146,26,Tourism,-0.513640983
147,27,Tourism,-0.446774661
148,28,Tourism,-0.526972147
149,29,Tourism,-0.567263043
150,30,Tourism,-0.524531187
151,31,Tourism,-0.503741801
152,32,Tourism,-0.544198162
153,33,Tourism,-0.535956069
154,34,Tourism,-0.486870968
155,35,Tourism,0.040863569
156,36,Tourism,0.401637124
157,37,Tourism,0.253266847
158,38,Tourism,0.120131025
159,39,Tourism,-0.043096349
160,40,Tourism,-0.072517461
161,41,Tourism,-0.143285386
162,42,Tourism,-0.192761989
163,43,Tourism,-0.203252099
164,44,Tourism,-0.237386285
165,45,Tourism,-0.163987813
166,46,Tourism,-0.215435915
167,47,Tourism,-0.090999073
168,48,Tourism,-0.04211677
169,49,Tourism,-0.056727404
170,50,Tourism,0.012700311
171,51,Tourism,-0.027189309
172,52,Tourism,0.814915637
173,53,Tourism,0.747869451
174,54,Tourism,0.77599151
175,55,Tourism,0.893314951
176,56,Tourism,0.981468872
177,57,Tourism,0.876704996
178,58,Tourism,0.839334923
179,59,Tourism,0.855320259
180,60,Tourism,0.770403342
181,1,Education,0.685213804
182,2,Education,0.119542122
183,3,Education,1.15872136
184,4,Education,0.032204625
185,5,Education,0.195849009
186,6,Education,0.840789414
187,7,Education,1.07281736
188,8,Education,0.264654014
189,9,Education,0.534184673
190,10,Education,0
191,11,Education,0.485143294
192,12,Education,0.55317654
193,13,Education,0.888323531
194,14,Education,0.56682504
195,15,Education,1.432949971
196,16,Education,0.421372429
197,17,Education,1.04789305
198,18,Education,0.112387666
199,19,Education,0.345335197
200,20,Education,0.473165969
201,21,Education,0.087480429
202,22,Education,0.106572774
203,23,Education,-0.520635157
204,24,Education,-0.875516479
205,25,Education,-1.006897975
206,26,Education,-0.688090455
207,27,Education,-0.557618667
208,28,Education,-0.69864238
209,29,Education,-0.546227867
210,30,Education,-0.416913839
211,31,Education,-0.501235333
212,32,Education,-0.558359788
213,33,Education,-0.174916782
214,34,Education,-0.013119044
215,35,Education,0.151336482
216,36,Education,0.256438371
217,37,Education,0.203124244
218,38,Education,0.221863095
219,39,Education,0.129459597
220,40,Education,0.098728359
221,41,Education,-0.044243739
222,42,Education,-0.321047493
223,43,Education,-1.076069995
224,44,Education,-1.149624824
225,45,Education,-2.036655262
226,46,Education,-1.639543037
227,47,Education,-1.154709227
228,48,Education,-1.508039737
229,49,Education,-1.462378654
230,50,Education,-1.014995197
231,51,Education,-4.477463164
232,52,Education,0.272020766
233,53,Education,0.260295526
234,54,Education,0.256587624
235,55,Education,0.429228682
236,56,Education,0.400758999
237,57,Education,0.365219211
238,58,Education,0.304668245
239,59,Education,0.268049594
240,60,Education,0.280885832
